Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV
24TH AND FEDERAL,2400 S FEDERAL,CHICAGO,IL,60616,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:110566",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::37401,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110040724641,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.8485 -87.6289
GREEN DEMOLITION SPECIFICATIONS,REGION V,CHICAGO,IL,60604,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:156088",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::39223,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110055083886,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.764586 -87.707279
417 N KEDZIE,417 N KEDZIE,CHICAGO,IL,60624,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:160824",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::39420,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110055264226,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.88883 -87.70636
407 N KEDZIE,407 N KEDZIE,CHICAGO,IL,60624,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:160825",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070247843,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.88853 -87.70635
WISCONSIN STEEL WORKS,2800 E 106TH ST,CHICAGO,IL,60617,COOK,ILD000849737,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505976,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000612276,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.703056 -87.556111
CHICAGO SMELTING AND REFINING,3701 S KEDZIE AVE,CHICAGO,IL,60632,COOK,ILN000510825,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510825,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001364817,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.826036 -87.704093
HARRISON SHEET STEEL CO.,4718 WEST 5TH AVENUE,CHICAGO,IL,60644,COOK,IL0001048834,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507601,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002455619,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.868333 -87.7425
AUTO DEPOSITIONS INCORPORATED,1518 W HUBBARD ST,CHICAGO,IL,60642,COOK,ILD005150578,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507623,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001812922,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.889722 -87.664722
PEOPLES GAS LIGHT & COKE WILLOW ST STATION,1701-1763 KINGSBURY,CHICAGO,IL,60614,COOK,ILD982074759,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505490,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::81601,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009283603,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.9125 -87.655556
AVALON AVENUE DUMP SITE,NEAR 7701 AVALON AVENUE,CHICAGO,IL,60619,COOK,ILD984904227,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0506869,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009326568,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.754167 -87.594722
USEPA CENTRAL REGIONAL LAB,"536 S. CLARK ST., 10TH FLOOR",CHICAGO,IL,60605,COOK,ILN000509198,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0509198,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110017945713,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.875218 -87.630675
PEOPLES GAS HOUGH PLACE STATION FORMER MGP,2500 S CORBETT STREET,CHICAGO,IL,60608,COOK,ILN000510190,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510190,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::81597,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110030434313,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.847444 -87.650181
HANSON PARK ELEM SCHOOL,5411 W FULLERTON AV,CHICAGO,IL,60639,COOK,ILN000507886,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507886,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110036581062,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.923354 -87.761859
4311 WEST FERDINAND,4311 WEST FERDINAND,CHICAGO,IL,60624,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:13877",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110039544696,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.889722 -87.733787
4021 S. NORMAL AVENUE,4021 S. NORMAL AVENUE,CHICAGO,IL,60609,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:111272",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::37421,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110043082133,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.82095 -87.63853
11500 S PERRY,11500 S PERRY,CHICAGO,IL,60628,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:133625",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::38392,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110044215444,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.6853 -87.62534
APEX SMELTING,2537 WEST TAYLOR STREET,CHICAGO,IL,60612,COOK,ILN000510833,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0510833,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110054144715,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.869279 -87.690003
9200 S VANDERPOEL,9200 S VANDERPOEL,CHICAGO,IL,60643,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:144443",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::38799,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110054146580,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.72581 -87.66652
UJIMA GARDEN,545 N CENTRAL PARK AVE,CHICAGO,IL,60624,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:144441",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::38798,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110046094418,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.89163 -87.71619
PULLMAN CAR MANUFACTURING COMPANY,748 E 111TH ST,CHICAGO,IL,60628,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:234848",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110056370038,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.69282 -87.60512
WHITNEY YOUNG LIBRARY REPLACEMENT SITE 2,419 EAST 79TH STREET,CHICAGO,IL,60619,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:168023",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::39726,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110063698752,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.75112 -87.61392
MOZART STREET MERCURY SPILL,1910 N. MOZART,CHICAGO,IL,60647,COOK,ILN000505637,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505637,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110067037922,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.916068 -87.698467
PILSEN AREA SOILS,"RR & ALLEY ADJACENT TO LOOMIS ST., W. 21ST PLACE",CHICAGO,IL,60608,COOK,ILN000504472,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0504472,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110067038280,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.852717 -87.660426
INTERLAKE PROPERTY W H I,116TH & STONEY ISLAND,CHICAGO,IL,60617,COOK,ILD000810432,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0500090,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071101671,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.721667 -87.535
